SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.263808245,3992.561465,0.208306524,3463.476181,0.318776676,2762.826356,0.516677749,3791.073997,0.902227072,1612.335471,0.596431323,3972.957799,,,,,0.919351959,3025.578163,,,,,,,0.856204859,5032.55814
0.267367107,4016.069942,0.209724443,3528.173722,0.324466904,2839.263472,0.530212915,3767.464967,0.906499381,1624.075046,0.608537796,3990.533644,,,,,0.931545751,3134.981868,,,,,,,0.87196323,5041.860465
0.270924771,4051.343132,0.215417065,3581.081413,0.327314711,2851.011427,0.541611328,3743.868505,0.915046395,1624.02477,0.622067575,4019.865821,,,,,0.94162322,3266.286257,,,,,,,0.891661195,5041.860465
0.274483633,4074.851609,0.218974729,3616.354603,0.336570385,2886.251099,0.548025179,3708.536659,0.918607651,1624.003821,0.632037894,4031.571878,,,,,0.949553754,3130.52474,,,,,,,0.910045962,5046.511628
0.277329046,4110.128989,0.223244645,3651.623603,0.343695889,2856.79742,0.565116214,3737.847888,0.922880559,1629.861039,0.6377371,4019.773648,,,,,0.961219741,3257.443891,,,,,,,0.919894944,5051.162791
0.280886711,4145.402179,0.228222622,3728.064909,0.34653831,2921.486582,0.572949181,3755.448871,0.927862127,1671.008206,0.647705025,4055.009131,,,,,0.965457027,3257.425338,,,,,,,0.932370322,5037.209302
0.28302107,4168.919036,0.230356383,3757.464123,0.351516287,2997.927888,0.582205453,3784.806187,0.930709336,1688.638517,0.654117081,4037.324354,,,,,0.970738329,3112.918853,,,,,,,0.936966513,5074.418605
0.284443178,4192.440083,0.231778491,3780.985169,0.35578321,3062.608671,0.590036624,3820.054239,0.93213324,1694.512494,0.664809227,3954.908518,,,,,0.98503546,3077.829986,,,,,,,0.952724885,5032.55814
0.28657634,4227.721652,0.235336754,3810.376003,0.362188682,3109.629815,0.595019389,3849.436693,0.939251562,1735.647092,0.669797978,3925.467407,,,,,0.989283414,3178.511913,,,,,,,0.96126067,5074.418605
0.287287395,4239.482175,0.238895017,3839.766837,0.367172046,3133.129913,0.60213831,3884.688935,0.947798575,1735.596816,0.680478154,3960.6987,,,,,0.993009591,3353.626947,,,,,,,0.980958634,5083.72093
0.28941936,4286.528458,0.246015733,3857.372009,0.372867661,3156.625821,0.609970678,3908.172274,0.953495387,1747.328011,0.68830753,4013.593822,,,,,1.000963779,3441.157796,,,,,,,0.994090611,5102.325581
0.290839672,4327.696574,0.249576989,3857.35106,0.37927433,3191.882252,0.619228147,3925.764877,0.959190404,1776.706275,0.692578044,4042.980466,,,,,,,,,,,,,1,5116.27907
0.293686283,4351.209241,0.252425395,3863.216658,0.383544844,3221.268896,0.628486813,3931.592767,0.963462115,1794.328207,0.694710608,4084.144392,,,,,,,,,,,,,,
0.297956797,4380.595885,0.258118616,3910.241992,0.389238065,3268.29423,0.638460724,3908.004685,0.96915773,1817.824115,0.703963887,4142.91349,,,,,,,,,,,,,,
0.302943153,4374.6842,0.26167628,3945.515182,0.392082281,3315.336323,0.64344708,3902.093001,0.974141094,1841.324213,0.709660699,4154.644685,,,,,,,,,,,,,,
0.30792951,4368.772516,0.265944999,3992.548895,0.396352197,3350.605324,0.652705746,3907.920891,0.979839702,1835.408338,0.718922358,4131.060793,,,,,,,,,,,,,,
0.313627519,4368.738998,0.269499671,4057.233868,0.402046615,3385.865945,0.664096976,3954.912707,0.988389109,1811.828636,0.728181024,4136.888684,,,,,,,,,,,,,,
0.317187578,4380.482763,0.272346281,4080.746535,0.408454481,3409.357663,0.679762312,3995.997029,0.99479937,1811.790929,0.73102943,4142.754281,,,,,,,,,,,,,,
0.320034787,4398.113073,0.279465201,4115.998777,0.41486115,3444.614095,0.682610718,4001.862627,0.997648374,1811.77417,0.738876163,4025.061065,,,,,,,,,,,,,,
0.322881996,4415.743384,0.288722072,4139.473736,0.41913346,3456.353669,0.697559612,4084.127633,,,0.742442207,3977.981265,,,,,,,,,,,,,,
