SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.105,81.5908339,0.105,44.68134056,,,,,0.625746,103.016014,,,,
0.1055,73.06035058,0.1055,44.73411439,,,,,0.62874,128.66753,,,,
0.106,118.8251657,0.106,49.00459977,,,,,0.631734,104.487564,,,,
0.1065,71.7215772,0.1065,45.50235712,,,,,0.634728,71.27402,,,,
0.107,72.82098541,0.107,48.87929264,,,,,0.637722,128.69469,,,,
0.1075,72.1368539,0.1075,44.78281609,,,,,0.640716,131.54837,,,,
0.108,82.90503998,0.108,50.15331988,,,,,0.64371,126.9607,,,,
0.1085,60.51056398,0.1085,43.84708244,,,,,0.646704,110.71138,,,,
0.109,53.05819923,0.109,47.63922995,,,,,0.649698,108.3768,,,,
0.1095,103.3252548,0.1095,41.23624807,,,,,0.652692,110.49104,,,,
0.11,104.2115868,0.11,48.98612365,,,,,0.655686,90.31112,,,,
0.1105,88.0465162,0.1105,44.87402998,,,,,0.65868,97.33165,,,,
0.111,78.18789104,0.111,46.50299625,,,,,0.661674,106.71349,,,,
0.1115,91.00239403,0.1115,46.58361627,,,,,0.664668,118.6788,,,,
0.112,59.56111445,0.112,58.7611517,,,,,0.667662,97.44249,,,,
0.1125,73.44503543,0.1125,51.92374514,,,,,0.670656,130.36757,,,,
0.113,76.63192139,0.113,49.64060073,,,,,0.67365,132.46121,,,,
0.1135,112.3096787,0.1135,48.02728975,,,,,0.676644,135.38672,,,,
0.114,79.75086135,0.114,47.88649671,,,,,0.679638,127.651306,,,,
0.1145,125.1345643,0.1145,49.8734353,,,,,0.682632,117.10543,,,,
0.115,106.2464369,0.115,45.17997964,,,,,0.685626,123.17987,,,,
0.1155,66.88145971,0.1155,43.15048198,,,,,0.68862,127.03099,,,,
0.116,123.4381132,0.116,49.84627741,,,,,0.691614,129.27994,,,,
0.1165,59.47169773,0.1165,47.45401899,,,,,0.694608,139.50795,,,,
0.117,107.4680016,0.117,47.2312714,,,,,0.697602,93.57059,,,,
0.1175,111.1023125,0.1175,49.98793903,,,,,0.700596,145.90666,,,,
0.118,73.38007516,0.118,47.80445792,,,,,0.70359,131.04962,,,,
0.1185,100.9913355,0.1185,52.61509975,,,,,0.706584,120.53077,,,,
0.119,112.0663867,0.119,51.98121678,,,,,0.709578,134.8028,,,,
0.1195,123.056323,0.1195,43.89939586,,,,,0.712572,105.50381,,,,
0.12,113.5339887,0.12,43.64826632,,,,,0.715566,132.06065,,,,
0.1205,114.4856196,0.1205,52.31917291,,,,,0.71856,130.24976,,,,
0.121,136.8933097,0.121,44.53411032,,,,,0.721554,107.73175,,,,
0.1215,107.8561649,0.1215,55.50412534,,,,,0.724548,135.9759,,,,
0.122,137.3373452,0.122,48.10787506,,,,,0.727542,106.12368,,,,
0.1225,124.1084948,0.1225,45.37286568,,,,,0.730536,114.19204,,,,
0.123,103.0169619,0.123,43.52701807,,,,,0.73353,124.572914,,,,
0.1235,120.4492882,0.1235,46.9276015,,,,,0.736524,116.05903,,,,
0.124,97.65906904,0.124,47.8450512,,,,,0.739518,41.409603,,,,
0.1245,49.9367732,0.1245,46.32600756,,,,,0.742512,126.73065,,,,
0.125,79.38714356,0.125,56.3229646,,,,,0.745506,86.98574,,,,
0.1255,93.00926938,0.1255,49.87044218,,,,,0.7485,134.65327,,,,
